Sentence;Label
Mental health is as important as physical health.;medical
An apple a day keeps the doctor away.;random
For this operation an experienced doctor is needed;medical
Technology is evolving rapidly.;random
Rheumatoid arthritis is an autoimmune disease affecting the joints.;medical
It's raining cats and dogs.;random
Washing hands frequently can prevent the spread of infections.;medical
All that glitters is not gold.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Early detection of cancer can greatly improve treatment outcomes.;medical
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
Tomorrow is another day.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
She traveled around the world in eighty days.;random
She plays the piano beautifully.;random
Mental health is as important as physical health.;medical
Mental health is as important as physical health.;medical
She traveled around the world in eighty days.;random
Washing hands frequently can prevent the spread of infections.;medical
Washing hands frequently can prevent the spread of infections.;medical
A journey of a thousand miles begins with a single step.;random
Obesity is a major risk factor for several chronic conditions.;medical
All that glitters is not gold.;random
He painted the wall blue.;random
The early bird catches the worm.;random
The patient showed symptoms of a mild concussion.;medical
Vaccinations are crucial for preventing certain infectious diseases.;medical
Technology is evolving rapidly.;random
The book on the table is overdue.;random
Silence is often more eloquent than words.;random
Vaccinations are crucial for preventing certain infectious diseases.;medical
Washing hands frequently can prevent the spread of infections.;medical
Laughter is the best medicine.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
The patient showed symptoms of a mild concussion.;medical
It's raining cats and dogs.;random
Sleep is crucial for cognitive function and physical health.;medical
Technology is evolving rapidly.;random
Mental health is as important as physical health.;medical
The early bird catches the worm.;random
He painted the wall blue.;random
A balanced diet is essential for maintaining heart health.;medical
Smoking cessation reduces the risk of developing lung cancer.;medical
It's raining cats and dogs.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
The patient showed symptoms of a mild concussion.;medical
Silence is often more eloquent than words.;random
A balanced diet is essential for maintaining heart health.;medical
Washing hands frequently can prevent the spread of infections.;medical
Migraines are often characterized by severe, throbbing headaches.;medical
The early bird catches the worm.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
An apple a day keeps the doctor away.;random
Mountains are majestic.;random
Silence is often more eloquent than words.;random
Rheumatoid arthritis is an autoimmune disease affecting the joints.;medical
Migraines are often characterized by severe, throbbing headaches.;medical
Laughter is the best medicine.;random
The early bird catches the worm.;random
Music can change the world.;random
Asthma attacks can be triggered by allergies or stress.;medical
Early detection of cancer can greatly improve treatment outcomes.;medical
High blood pressure increases the risk of heart disease and stroke.;medical
The early bird catches the worm.;random
She traveled around the world in eighty days.;random
The book on the table is overdue.;random
The book on the table is overdue.;random
A quick brown fox jumps over the lazy dog.;random
Laughter is the best medicine.;random
The sun sets in the west.;random
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
The book on the table is overdue.;random
Mountains are majestic.;random
Silence is often more eloquent than words.;random
Art is the expression of the unspoken.;random
High blood pressure increases the risk of heart disease and stroke.;medical
Silence is often more eloquent than words.;random
Art is the expression of the unspoken.;random
Antibiotics are used to treat bacterial infections, not viral infections.;medical
An apple a day keeps the doctor away.;random
Washing hands frequently can prevent the spread of infections.;medical
Antibiotics are used to treat bacterial infections, not viral infections.;medical
Sleep is crucial for cognitive function and physical health.;medical
High blood pressure increases the risk of heart disease and stroke.;medical
Tomorrow is another day.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Washing hands frequently can prevent the spread of infections.;medical
Obesity is a major risk factor for several chronic conditions.;medical
He painted the wall blue.;random
Osteoporosis is marked by decreased bone density.;medical
Sleep is crucial for cognitive function and physical health.;medical
Mountains are majestic.;random
It's raining cats and dogs.;random
Asthma attacks can be triggered by allergies or stress.;medical
Mountains are majestic.;random
Technology is evolving rapidly.;random
Early detection of cancer can greatly improve treatment outcomes.;medical
A quick brown fox jumps over the lazy dog.;random
All that glitters is not gold.;random
Antibiotics are used to treat bacterial infections, not viral infections.;medical
High blood pressure increases the risk of heart disease and stroke.;medical
A journey of a thousand miles begins with a single step.;random
Washing hands frequently can prevent the spread of infections.;medical
Smoking cessation reduces the risk of developing lung cancer.;medical
Rheumatoid arthritis is an autoimmune disease affecting the joints.;medical
Washing hands frequently can prevent the spread of infections.;medical
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Sleep is crucial for cognitive function and physical health.;medical
The sun sets in the west.;random
She traveled around the world in eighty days.;random
Blood sugar levels are crucial for diabetes management.;medical
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
Vaccinations are crucial for preventing certain infectious diseases.;medical
Early detection of cancer can greatly improve treatment outcomes.;medical
Mental health is as important as physical health.;medical
Music can change the world.;random
Cholesterol levels can influence cardiovascular health.;medical
Osteoporosis is marked by decreased bone density.;medical
Osteoporosis is marked by decreased bone density.;medical
Washing hands frequently can prevent the spread of infections.;medical
A journey of a thousand miles begins with a single step.;random
The patient showed symptoms of a mild concussion.;medical
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
It's raining cats and dogs.;random
A journey of a thousand miles begins with a single step.;random
Mental health is as important as physical health.;medical
The book on the table is overdue.;random
Asthma attacks can be triggered by allergies or stress.;medical
The sun sets in the west.;random
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Tomorrow is another day.;random
Vaccinations are crucial for preventing certain infectious diseases.;medical
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
High blood pressure increases the risk of heart disease and stroke.;medical
An apple a day keeps the doctor away.;random
He painted the wall blue.;random
Migraines are often characterized by severe, throbbing headaches.;medical
Technology is evolving rapidly.;random
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Osteoporosis is marked by decreased bone density.;medical
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
Asthma attacks can be triggered by allergies or stress.;medical
A quick brown fox jumps over the lazy dog.;random
Early detection of cancer can greatly improve treatment outcomes.;medical
She plays the piano beautifully.;random
Washing hands frequently can prevent the spread of infections.;medical
High blood pressure increases the risk of heart disease and stroke.;medical
Cholesterol levels can influence cardiovascular health.;medical
Early detection of cancer can greatly improve treatment outcomes.;medical
Osteoporosis is marked by decreased bone density.;medical
Vaccinations are crucial for preventing certain infectious diseases.;medical
Blood sugar levels are crucial for diabetes management.;medical
Asthma attacks can be triggered by allergies or stress.;medical
Migraines are often characterized by severe, throbbing headaches.;medical
The book on the table is overdue.;random
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
The cake was delicious.;random
Mountains are majestic.;random
The cake was delicious.;random
An apple a day keeps the doctor away.;random
A quick brown fox jumps over the lazy dog.;random
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
The cake was delicious.;random
Asthma attacks can be triggered by allergies or stress.;medical
Vaccinations are crucial for preventing certain infectious diseases.;medical
Music can change the world.;random
The patient showed symptoms of a mild concussion.;medical
The sun sets in the west.;random
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Obesity is a major risk factor for several chronic conditions.;medical
The cake was delicious.;random
Laughter is the best medicine.;random
Cholesterol levels can influence cardiovascular health.;medical
Mental health is as important as physical health.;medical
Technology is evolving rapidly.;random
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Rheumatoid arthritis is an autoimmune disease affecting the joints.;medical
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
Rheumatoid arthritis is an autoimmune disease affecting the joints.;medical
The patient showed symptoms of a mild concussion.;medical
Washing hands frequently can prevent the spread of infections.;medical
Tomorrow is another day.;random
Technology is evolving rapidly.;random
High blood pressure increases the risk of heart disease and stroke.;medical
He painted the wall blue.;random
Art is the expression of the unspoken.;random
The patient showed symptoms of a mild concussion.;medical
Blood sugar levels are crucial for diabetes management.;medical
The early bird catches the worm.;random
Smoking cessation reduces the risk of developing lung cancer.;medical
It's raining cats and dogs.;random
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
The sun sets in the west.;random
An apple a day keeps the doctor away.;random
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
Smoking cessation reduces the risk of developing lung cancer.;medical
A balanced diet is essential for maintaining heart health.;medical
Mountains are majestic.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Cholesterol levels can influence cardiovascular health.;medical
High blood pressure increases the risk of heart disease and stroke.;medical
A journey of a thousand miles begins with a single step.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Vaccinations are crucial for preventing certain infectious diseases.;medical
A balanced diet is essential for maintaining heart health.;medical
Smoking cessation reduces the risk of developing lung cancer.;medical
Asthma attacks can be triggered by allergies or stress.;medical
Migraines are often characterized by severe, throbbing headaches.;medical
Silence is often more eloquent than words.;random
Osteoporosis is marked by decreased bone density.;medical
An apple a day keeps the doctor away.;random
Antibiotics are used to treat bacterial infections, not viral infections.;medical
Blood sugar levels are crucial for diabetes management.;medical
She plays the piano beautifully.;random
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
She plays the piano beautifully.;random
The patient showed symptoms of a mild concussion.;medical
High blood pressure increases the risk of heart disease and stroke.;medical
All that glitters is not gold.;random
The early bird catches the worm.;random
Blood sugar levels are crucial for diabetes management.;medical
Music can change the world.;random
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
Obesity is a major risk factor for several chronic conditions.;medical
Asthma attacks can be triggered by allergies or stress.;medical
All that glitters is not gold.;random
He painted the wall blue.;random
Smoking cessation reduces the risk of developing lung cancer.;medical
Technology is evolving rapidly.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
She traveled around the world in eighty days.;random
Washing hands frequently can prevent the spread of infections.;medical
Tomorrow is another day.;random
Regular exercise can help lower the risk of chronic diseases like heart disease.;medical
High blood pressure increases the risk of heart disease and stroke.;medical
The cake was delicious.;random
Osteoporosis is marked by decreased bone density.;medical
Smoking cessation reduces the risk of developing lung cancer.;medical
Washing hands frequently can prevent the spread of infections.;medical
He painted the wall blue.;random
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Type 2 diabetes can be managed with lifestyle changes and medication.;medical
Art is the expression of the unspoken.;random
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
Smoking cessation reduces the risk of developing lung cancer.;medical
A balanced diet is essential for maintaining heart health.;medical
Symptoms of dehydration include dizziness, thirst, and dry mouth.;medical
Libraries are full of ideas—perhaps the most dangerous and powerful of all weapons.;random
